Club,Player,Month,Year,Miles
gvv,NULL,Jun,64,1679
kjh,mharr102,Dec,78,866.25
kjh,jstro102,Dec,68,2930
gda,pharm101,Nov,88,4839
glk,hyera102,May,94,4965
sdd,lgime103,May,13,1442.33
gbn,jstro101,Mar,82,1414.33
ger,mjone101,Sep,69,797
dew,mpete103,Feb,67,1385
gda,pharv103,Dec,97,4638
sdd,juooli101,Feb,90,661
fed,mharr103,Jul,79,1720.5
sdd,pharv102,Nov,88,842.25
frt,ljone104,Jan,70,2453
kjh,NULL,Feb,65,4290
fed,NULL,Feb,72,860.5
NULL,jstro102,May,13,2152.5
ddf,ljone104,Oct,69,1652.5
dar,lgime103,Oct,75,4955
NULL,pharv103,Jan,08,673
sdd,jstro104,Mar,16,938.25
kjh,mpete103,Jun,18,4492
fed,mjone103,Sep,69,4500
daw,jstro102,Sep,71,4575
faq,pharm101,Feb,95,533.5
ddf,abera101,Mar,80,966.5
gbn,jstro101,Feb,79,1003.5
daw,mpede104,Jan,14,2201
faq,kline102,Sep,10,1418.67
gbn,lsamme104,Dec,15,1422
dew,hdaerr101,Feb,94,695.75
saz,mharr103,Feb,19,665
saz,kline101,Apr,99,3332
kjh,mpede104,Mar,86,916.33
frt,dfab103,Aug,78,1407
NULL,NULL,Nov,06,1455
dar,pharv101,Jan,95,2647
dew,jstro104,Jan,72,1500.33
NULL,mharr101,Nov,94,2198.5
frt,pharm101,Nov,04,811.33
glk,lgime101,May,17,716
fgn,hdaerr101,Dec,84,1010.5
gth,jstro101,Apr,98,2192.5
gbn,hdaerr101,Aug,02,1201.33
kjh,pharv101,Apr,06,1563.67
frt,gframe102,Oct,64,883.75
hgg,jstro101,Jun,05,1243.25
der,kline101,Apr,75,823
saz,pharv102,Apr,86,3125
NULL,pterv104,Jun,03,685
faq,lgime103,Oct,67,1602
dar,kline103,Aug,93,621
sdd,abera101,Oct,18,1608.5
daw,mpede104,Dec,05,3433
ddf,lgime103,Nov,65,1438
der,mharr103,Nov,08,1903
swe,lgime102,Aug,75,1241.5
der,pharm101,Aug,93,1782.5
ddf,lgime101,Apr,92,1155.5
hgg,jline104,Nov,78,3678
glk,pharv102,Dec,12,1585.5
frt,ljone104,Sep,86,1247
ddf,lgime103,Dec,11,2141
sad,NULL,Aug,76,1309.67
NULL,pplin102,May,97,1396
fgn,hdaerr101,Jan,15,696
fed,jstro102,Jan,08,1349
frt,lgime102,Aug,77,1181.5
gvv,pharm101,Dec,71,628.25
frt,pterv104,May,07,2283
saz,NULL,Sep,71,4118
fgn,pharm101,Apr,02,1022.5
gbn,mjone103,Jul,13,4116
dar,lgime102,Mar,10,1514.67
glk,jstro102,Dec,08,2107
dbe,mpete103,May,89,2661
gbn,hyera102,Mar,07,942.75
sad,hyera102,Sep,73,1120
kjh,gframe102,Aug,75,1089
gda,kline103,Aug,04,802
der,mpete101,Jul,72,1771
fgn,pharv101,Oct,85,1075.5
dew,jstro102,Nov,14,1209
dew,jline104,Mar,97,1470
fed,pharv101,Jan,94,1386
ger,pterv104,Feb,70,1637.33
swe,mjone101,Sep,05,2013.5
ddf,mjone102,Oct,84,675.5
gth,lgime103,Feb,68,2646
NULL,abera101,Jul,79,1980
faq,pterv104,Oct,88,3086
daw,hyera102,May,69,1146
saz,kline103,Apr,75,1081
dar,pharv101,Jul,15,956.25
gbn,jstro102,Nov,03,552.5
der,hyera102,May,89,1148.75
saz,kline102,Mar,19,817.5
faq,mpete101,Aug,99,926.67
fgn,lgime103,Oct,17,1374.5
ger,mpete102,Jun,81,2862
ger,mharr102,Feb,74,604.5
frt,lgime102,Jun,06,1114
gth,jstro101,Dec,05,1302.33
daw,ljone104,Feb,65,2245.5
frt,gframe102,Dec,64,1618.33
gth,kline102,Nov,69,1107.25
dbe,juooli101,Oct,17,1002.75
swe,mpete103,Apr,80,3148
dbe,mharr102,Oct,03,1183
NULL,jstro102,Nov,99,810
swe,abera101,Mar,93,2069
glk,NULL,Oct,76,634.5
glk,NULL,Mar,74,2890
fgn,mharr103,Oct,65,1340.5
swe,kline103,Aug,79,1515.33
daw,pterv104,Mar,98,1665.33
der,mpete103,Apr,95,1026.25
frt,hdaerr101,Nov,80,899.67
der,mpede104,May,64,2275.5
sdd,abera101,Jan,07,1642
dbe,pterv104,Sep,02,1662.5
der,mpete102,Jul,93,1649
sad,juooli101,Mar,64,2246
ddf,hdaerr101,Sep,86,3252
gbn,hdaerr101,Mar,66,896.75
faq,mharr101,Mar,72,857
hgg,hyera102,Jan,93,945.5
NULL,mharr103,Apr,11,4068
ger,dfab103,Jul,73,2303.5
frt,mpete101,Aug,92,1318.5
der,jstro102,Jul,09,989.75
gvv,dfab103,Mar,80,679.33
dbe,pharv101,Jul,85,1274.33
ddf,mharr101,Dec,79,4269
swe,mjone102,Sep,82,1281.5
dar,dfab103,Jan,66,1464.33
NULL,NULL,Jan,67,4176
swe,mharr101,Aug,92,1441.33
NULL,mharr102,Oct,91,864.75
ddf,lgime101,Oct,80,2066
gth,ljone104,Nov,82,1621.33
gvv,mharr103,Nov,84,3288
gda,mjone101,Feb,91,856
gbn,mharr101,Aug,96,1291.33
faq,mharr102,Jan,65,1487
der,jstro102,Oct,10,968
saz,ljone104,Dec,77,2210
daw,lgime101,Jun,66,1246.5
gbn,mjone101,Sep,67,1432
sdd,jstro104,Aug,77,1032.5
gbn,lgime102,Oct,13,3826
der,ljone104,Aug,91,1382.5
dar,dfab103,Jul,72,1424
sad,mharr102,Aug,81,1222.67
gbn,lgime102,May,19,536
gda,lgime101,Oct,11,1173
ddf,NULL,Nov,98,1267.5
faq,ljone104,Sep,12,834
daw,mharr101,Nov,93,1612
ddf,mpede104,Mar,15,2971
hgg,pterv104,Sep,10,2018
gth,NULL,Jul,64,750.75
dbe,juooli101,Jan,80,1415
saz,juooli101,Mar,66,1249.5
dar,jstro104,Apr,79,1246.67
sad,lsamme104,Jun,75,2119.5
gth,mharr101,Nov,12,701.25
dbe,jstro104,Oct,12,2215
der,pharv101,Mar,69,1016.33
NULL,pplin102,Dec,14,3203
dbe,pharv101,May,17,2327.5
gvv,hyera102,Jan,65,1218
saz,abera101,Feb,90,3368
frt,lgime102,Feb,03,1068.5
gvv,pharv102,Aug,99,812.5
dew,lgime102,Aug,09,2254
fed,gframe102,Jul,14,676
hgg,lgime101,Jul,98,1595.5
kjh,pplin102,Sep,90,504.25
gbn,kline103,Jul,71,2186
sdd,pterv104,Mar,11,3937
sdd,pharm101,May,15,2576
daw,pharv102,Nov,78,1220.75
swe,lsamme104,Apr,66,1812
daw,pharv102,Nov,90,1180.5
frt,kline102,Jun,98,2241.5
fed,pplin102,Jul,96,4549
ger,mharr103,Jun,06,1028
gda,mjone103,Apr,02,1065
ger,gframe102,May,84,1149.25
glk,jstro104,Jun,68,810.25
ger,ljone104,Dec,98,4901
der,lgime101,Nov,71,1148.75
sdd,pterv104,Dec,82,929
dbe,pharv103,Oct,99,1085.5
fed,NULL,Aug,67,4853
kjh,hdaerr101,Dec,80,1026
fed,mharr103,Aug,99,759.33
sad,NULL,Jul,94,1001.5
gda,pharv102,Jul,94,1035
hgg,mpete103,Mar,09,2479
fed,mpete103,Feb,80,1044
gvv,juooli101,Nov,13,1649.67
faq,mjone101,Feb,95,835.33
faq,gframe102,Feb,13,1003
gbn,NULL,Jul,77,2201
sad,lgime103,Mar,04,1370.67
ddf,NULL,Aug,10,1245.25
NULL,jstro104,Dec,02,1345.67
ddf,abera101,Apr,87,979.67
gbn,mpede104,Jan,96,3815
sad,abera101,Jun,17,2462
saz,pharv103,Jan,86,1595.33
sad,hyera102,Dec,87,2158
glk,dfab103,Aug,13,754.5
fgn,kline102,Feb,87,1031.5
fed,pharm101,Aug,17,1220
fed,mpete103,Jun,99,2482
ddf,kline101,Oct,69,3860
hgg,NULL,May,07,3326
dar,jstro101,Mar,01,843.75
swe,pharv102,Jul,16,812.33
sad,abera101,Jun,80,1044
glk,kline101,Nov,83,3271
sad,pharm101,May,06,2008
NULL,NULL,Nov,05,782.75
daw,juooli101,Nov,71,1939.5
NULL,pharv103,May,19,813.67
dbe,mharr103,Apr,92,2222.5
dbe,pharv102,Jun,98,1729
fgn,mharr102,Oct,01,1118.33
fgn,jstro104,May,00,1175
daw,mharr103,Nov,92,1441.33
ddf,mpete102,Feb,66,1906
sad,juooli101,Jun,04,568
daw,ljone104,Nov,80,4527
swe,jstro102,May,76,1514.5
fed,kline102,Apr,97,2039
swe,jline104,Nov,00,2745
ddf,ljone104,May,11,778.67
faq,NULL,Sep,04,1089.5
frt,pharv102,May,12,1083
gvv,mpede104,Sep,64,2633
sad,gframe102,Aug,05,3889
dar,pharv102,Feb,97,1002
daw,gframe102,Jul,74,861.75
gda,hyera102,May,82,951
der,mharr102,Mar,11,1504.5
hgg,lgime102,Aug,00,1362
frt,jstro102,Jul,16,1063
sad,jstro104,Nov,07,679.33
dar,abera101,Mar,83,576.75
faq,mjone102,Feb,70,3059
dew,mjone101,Mar,70,2022
daw,pharv102,Jun,04,3689
saz,mpete101,Sep,11,2017
swe,mjone102,Mar,89,2368
NULL,pterv104,Sep,85,2135
glk,jstro104,Oct,16,1265.5
gbn,mharr102,Aug,09,1817.5
fed,jstro104,Feb,88,3185
kjh,pharv101,Aug,02,766.25
sdd,kline101,Oct,75,2426
swe,kline103,May,15,1185.5
der,jstro102,Jul,14,2660
gda,mharr101,Feb,10,2871
faq,jline104,May,92,1256.33
sad,pterv104,Dec,88,2216
NULL,mharr103,Sep,81,1104
ger,NULL,Sep,12,2354.5
kjh,NULL,Jun,16,2041
hgg,mpete103,Jan,11,2329
glk,gframe102,Apr,66,1043.25
daw,jstro102,Nov,19,1746
faq,pplin102,Dec,87,1042.25
dar,mharr101,Mar,19,2792
sad,pharm101,Apr,14,2212.5
ddf,abera101,Jan,10,1203.5
saz,jstro102,Nov,09,1015.67
dew,lgime101,Jun,65,3681
sdd,mharr101,Feb,11,1469.33
dar,gframe102,Dec,72,1342.33
kjh,abera101,Jun,91,2052
sad,mpede104,Jan,08,739.67
fed,kline102,May,12,4453
fgn,mharr101,Oct,99,1242
gda,mpete101,Mar,75,1472.33
der,ljone104,Apr,86,2158.5
kjh,ljone104,Jul,93,1443
dar,mharr103,Mar,72,1210.5
swe,ljone104,Feb,96,2428
faq,jstro102,Nov,89,1522
dar,lgime102,Jan,65,4319
der,pharv103,Jul,99,708.75
gbn,lgime102,Nov,88,897.5
gth,pharv102,Oct,16,776.75
hgg,kline101,Dec,15,1589.5
faq,mharr101,Nov,64,1381
sdd,mharr101,Dec,16,2426.5
dbe,hyera102,Aug,97,1922.5
fgn,lsamme104,Jul,05,1705.5
sad,lgime102,Feb,71,1591.67
dar,jstro102,Feb,79,3983
fed,mpete103,Feb,77,1314
fed,lgime102,Jun,90,2078
daw,dfab103,Jun,92,2362.5
dbe,jstro102,Aug,04,670.25
hgg,mjone103,Apr,80,1312.33
ddf,kline103,Jul,97,4093
ddf,ljone104,Jun,06,988.75
fed,mharr101,Jan,89,2141.5
hgg,mpede104,Nov,87,1571.5
daw,mjone102,Jun,84,674.67
fgn,kline103,Nov,11,1433.5
gbn,jstro104,Jun,09,2725
gda,jstro102,Oct,00,3909
daw,kline101,Nov,11,620.75
der,jstro102,Mar,78,1259
sad,lgime103,Feb,12,3293
kjh,mjone101,Jan,15,873
gda,kline103,May,97,2644
sdd,mpete103,May,04,616.75
dbe,kline101,Jan,90,972.75
kjh,jstro102,Jun,99,2246
ddf,lgime102,Aug,13,1297.33
kjh,lgime101,Nov,99,924.67
ddf,mpede104,Mar,69,1187.67
gda,jstro102,Dec,96,1603.5
gvv,mpete101,Dec,90,4871
dar,pharv101,Feb,09,854.33
ddf,mpete101,Mar,17,684.75
der,ljone104,Dec,12,1125
saz,pplin102,Jan,06,1503.67
faq,pharm101,Jul,68,760
NULL,kline101,Jun,79,3788
sdd,mjone101,May,00,1002.5
gda,pharv102,Sep,67,1414.67
ger,mpete103,Sep,77,2259
gth,lgime101,Apr,81,642.25
gda,mjone103,May,19,2349
gda,jstro104,Oct,78,913.33
kjh,lgime102,Apr,15,1655
gth,lgime101,Jul,89,824
dar,kline102,Apr,67,2458.5
swe,gframe102,Sep,15,2102.5
gth,mharr101,Dec,82,527.5
dar,pharv103,Jul,82,1228.67
kjh,kline101,Dec,09,1131.25
gvv,mpete101,Jun,89,777.33
fgn,kline102,Nov,11,1242
swe,mharr102,Jul,06,4599
NULL,lgime102,Jul,75,934.67
hgg,juooli101,Jun,09,606.5
gvv,ljone104,Dec,96,796.33
fed,lsamme104,Aug,69,1601
kjh,mjone102,Jul,01,4168
saz,mpete103,Jul,78,2283
dbe,abera101,Dec,10,1454
fed,NULL,Dec,77,3089
der,mpede104,Feb,82,943.5
kjh,lgime102,Jul,94,816.5
saz,pharv103,Sep,66,1279
glk,hdaerr101,Mar,64,2655
swe,lsamme104,Oct,01,2003
ger,mpete101,Jul,64,687.75
dbe,lgime103,May,19,1689
swe,mharr101,Dec,97,767.67
dar,mharr101,Sep,17,1625
kjh,jstro101,Mar,98,976.33
ddf,mjone102,Mar,09,1205.5
faq,jstro102,Feb,87,1195
glk,mharr101,Aug,92,3202
gbn,jline104,Jan,13,1722
ger,lgime103,Aug,02,3209
dar,NULL,May,87,2492
gvv,kline103,Apr,67,518.5
der,mjone101,Jan,79,2291
faq,dfab103,Aug,99,2073.5
sdd,pharv101,May,12,2178
gda,jstro102,Mar,14,2333.5
gth,pharm101,May,66,546.25
fed,lgime101,Feb,11,2232.5
ddf,jstro102,Jun,99,1036
glk,pharv102,Dec,11,1011.5
der,mharr101,Aug,11,1294.67
faq,abera101,Dec,77,971.5
hgg,lgime102,Nov,88,1970.5
glk,mjone103,Jul,83,1267.5
dbe,pharm101,Jan,96,3918
gbn,mharr102,Jan,92,631.75
fed,jstro102,Feb,97,671.25
kjh,hyera102,Sep,02,2891
gth,mharr103,May,65,3241
gda,mharr103,May,65,2344
hgg,ljone104,Jan,84,3210
ger,mjone101,Aug,81,2404
faq,mharr102,Jul,84,790
dbe,jstro101,May,13,907.25
ddf,pharv101,Jun,66,1603
swe,NULL,Feb,86,2474
gth,mjone101,Jul,11,3009
fed,jline104,Sep,06,853.75
sdd,mjone101,Feb,82,947.25
glk,jstro104,Jun,82,4497
kjh,hdaerr101,Nov,04,2159.5
frt,lgime103,Jan,90,1147.5
NULL,hyera102,Sep,03,1101.67
ddf,dfab103,Feb,02,2075
hgg,mharr103,Jul,17,3758
fgn,abera101,Aug,79,1600.5
gth,jstro102,May,69,1373.33
gbn,pharv102,Jan,64,1053.5
hgg,ljone104,Aug,83,1386.5
gvv,jstro101,Jun,78,4133
ger,pharv102,Apr,72,4932
frt,mharr102,Apr,11,1383.5
gvv,jstro104,Dec,09,3783
dar,mpete101,Aug,01,1032.33
saz,kline102,Dec,05,1063.5
kjh,jstro101,Jan,84,2447
glk,mharr101,Dec,04,716.33
gbn,mpede104,Dec,97,1139.5
gbn,mjone103,Mar,88,807.33
ger,jstro104,Jun,67,1103.67
daw,jstro101,Jun,87,2632
fgn,NULL,Jul,10,1547.5
dar,mjone102,Feb,66,805.33
kjh,mpede104,Apr,79,1676
fed,jline104,Sep,13,3917
ddf,pharv101,Feb,07,3723
hgg,lsamme104,May,99,1656
gda,hdaerr101,Jan,77,1202.25
glk,jstro102,Jul,00,959
daw,jstro102,Dec,96,1849
daw,hyera102,Aug,13,2981
glk,pharm101,Jan,08,4893
faq,juooli101,Sep,12,1957
ddf,ljone104,Feb,17,1220.5
gbn,pharv103,Mar,12,1467.67
ger,kline101,Apr,87,694.33
sad,lsamme104,Jan,00,844.25
frt,NULL,Jul,82,1302
sdd,mpete103,Feb,87,1479
dew,lgime101,Jul,70,818.67
daw,gframe102,Apr,85,954
sdd,mjone103,Feb,04,711
saz,kline101,Mar,86,801
fgn,lsamme104,May,65,3372
kjh,jstro102,Sep,82,1191
glk,kline101,Dec,10,4144
dew,pharv102,Jul,17,4364
swe,mpete103,Oct,95,952
dar,pharm101,Jul,69,3577
gda,lsamme104,Mar,17,1288.5
gbn,abera101,Dec,02,898
swe,mpede104,May,87,2205.5
gda,dfab103,Jan,75,897.25
gda,jstro102,Aug,65,1093.67
sdd,jstro102,Sep,97,1030.33
kjh,mharr101,Aug,92,511.25
dew,ljone104,Aug,67,2421.5
der,pplin102,Aug,85,4717
fed,mjone103,Feb,90,896
dar,mpede104,Dec,96,1345
daw,kline101,Sep,90,936
fed,hdaerr101,Jun,91,1316.67
swe,abera101,Jul,84,1611.5
daw,jstro101,Aug,73,1391
der,lsamme104,Aug,02,3147
ddf,gframe102,Aug,00,749.25
frt,NULL,Oct,01,1044.25
gbn,NULL,Oct,18,963
gbn,mharr103,Jan,87,3813
dar,mharr103,Sep,87,1673
faq,jstro102,Apr,96,2611
fgn,pharm101,Jul,01,951.75
swe,NULL,Mar,81,2216
dbe,pharv102,Feb,03,794.33
dbe,kline101,Jun,08,975.67
dew,lgime101,May,69,2323
dew,mharr101,Sep,82,4389
saz,pplin102,Jul,69,2773
faq,jstro102,Mar,00,4911
glk,juooli101,Nov,73,3684
gth,NULL,Jan,13,1288.5
dbe,pharv102,Nov,01,1158.5
saz,jstro101,Aug,00,2919
glk,pharm101,Sep,12,3760
frt,kline101,Feb,78,4463
der,pharv102,Apr,99,2817
der,jstro104,Sep,05,1096.75
dew,lsamme104,Oct,74,773.25
dew,lsamme104,Dec,88,1485.5
ddf,mharr103,Aug,18,2269
kjh,pharv103,Jul,98,1964.5
der,mjone103,May,06,1040.33
gth,mpede104,Jan,86,1029.33
NULL,pharm101,May,07,1056
sad,hyera102,Apr,70,726.67
dar,mpete103,Sep,03,3901
der,mpede104,Oct,82,911.25
hgg,pplin102,Dec,97,1787
frt,kline101,May,83,942
dar,juooli101,Oct,16,2282.5
daw,hdaerr101,Mar,94,602.75
swe,juooli101,Apr,76,1495.33
dar,jstro102,Jan,99,628.75
der,juooli101,Aug,05,720.5
der,pterv104,Oct,19,825.75
ddf,mharr102,Dec,19,1107
ddf,hdaerr101,Oct,09,595.5
der,mharr103,Oct,81,1122
der,lgime101,Feb,97,3570
gda,pharv103,Aug,01,4952
swe,abera101,May,82,1123.5
gvv,jstro102,Jan,11,4461
frt,pharv102,Dec,98,1051.67
glk,kline102,Sep,10,3644
dar,jstro102,Nov,16,752.25
fed,NULL,Jul,18,2018
gth,pterv104,Dec,98,718
gth,mharr101,May,87,2419
gbn,kline103,Jan,79,712.33
ger,mjone101,Feb,89,2199
gth,pharv103,Feb,18,1188.5
der,gframe102,Jun,87,1806.5
frt,kline103,Jan,69,1393
swe,jline104,Nov,15,1068
gbn,ljone104,May,93,642.5
sad,jstro102,Aug,11,1166.67
swe,mjone102,Feb,68,813.67
sad,lsamme104,Oct,70,1156
gbn,mpete102,Feb,11,3008
kjh,mjone103,Apr,78,1899.5
sdd,mpede104,Jul,76,4472
gda,mjone102,Jun,72,708.75
dar,mjone103,Mar,05,1258.5
glk,pharv103,Feb,05,1174.25
NULL,NULL,Sep,19,864.75
dew,dfab103,Oct,06,1653
gbn,kline101,Nov,72,858.33
der,abera101,Dec,66,1514.33
ger,pterv104,Oct,88,1027.25
gvv,mjone103,May,17,1699.5
der,pplin102,Apr,13,556
hgg,mharr102,Jun,74,4044
der,pharv102,Jan,90,1154
swe,kline101,Apr,04,925.33
gth,NULL,Oct,08,710.5
dew,kline101,Nov,01,3960
saz,abera101,Apr,17,2153
gvv,hdaerr101,May,77,3721
gth,dfab103,Jan,04,1810
gvv,hdaerr101,Apr,02,1459
frt,mpete102,May,73,764.67
dew,mjone102,Mar,66,632.75
fed,NULL,Apr,84,2123.5
daw,jstro102,Oct,19,780.75
kjh,jstro102,May,98,1016.33
gvv,dfab103,Jun,75,1430
ddf,pharv101,Sep,12,2138
frt,mharr101,Nov,82,608.25
frt,mharr101,May,76,1661.67
gvv,pharm101,May,18,688.75
fed,abera101,May,64,1336
sad,lgime102,Dec,78,773.67
ger,mjone103,Oct,64,4468
gth,lgime101,Aug,71,3062
gth,pharv101,Jun,93,4686
gth,jstro104,Jan,15,4354
ddf,mjone103,Sep,94,859.33
sdd,jstro102,Aug,70,2466.5
sdd,juooli101,Oct,84,4870
sad,jstro102,Nov,01,1543.67
hgg,pharm101,Mar,97,1698.5
sad,mjone102,Dec,10,3704
gda,juooli101,Jun,66,2331
fgn,mpede104,Feb,74,4244
sdd,pharv103,Nov,12,1555
dew,jstro102,Jan,05,3615
NULL,NULL,Oct,96,1632
gvv,lgime103,Feb,75,2577
fed,pharm101,May,87,4631
daw,lsamme104,Jun,88,832
gth,juooli101,May,19,1942
gth,NULL,Jan,77,1662.5
sdd,pharm101,Jul,13,3822
fed,NULL,Sep,90,4869
NULL,lsamme104,Sep,88,1398.33
gvv,mpete103,Oct,70,3166
gda,pharm101,Dec,70,1355.67
fed,pterv104,Feb,06,1313.67
hgg,lgime103,Jun,85,902
daw,juooli101,Oct,08,958.33
swe,juooli101,Sep,10,871.5
ddf,pplin102,Sep,08,2435.5
faq,lsamme104,Nov,12,4171
ger,hdaerr101,Sep,83,908.25
ddf,mjone101,Mar,66,1101
ger,jstro104,Jun,14,599.25
swe,hyera102,Nov,86,1554.67
faq,lgime102,Dec,07,1200.33
fgn,dfab103,Sep,66,1596.5
dar,jstro102,Nov,76,1758.5
saz,hdaerr101,Mar,92,2791
gvv,gframe102,Dec,11,1083.5
gda,NULL,Aug,68,4545
der,mharr101,Jun,96,676.5
glk,pharv103,Jul,86,2565
sad,pplin102,Jan,06,544.5
ddf,lgime103,Aug,76,3290
sad,jstro102,Jul,88,569.75
der,kline103,Mar,76,1935
swe,mpete102,Jul,04,1245.33
dbe,hdaerr101,Oct,77,2781
sad,mjone103,Feb,90,3307
saz,mpete103,Jun,08,4410
gbn,abera101,Jul,95,1000
saz,NULL,Jun,81,914.67
ddf,kline103,Aug,72,2297
faq,jline104,May,08,2334
dew,mpete101,Feb,75,3010
gbn,jstro102,Jul,93,750
fgn,mharr101,Sep,98,1607
swe,mharr101,Oct,84,1221.5
frt,mharr101,Apr,04,954
ger,pharv101,Feb,70,1225.5
daw,juooli101,Apr,74,1233.5
ddf,pharv103,Jul,94,1253.33
saz,pharm101,Jan,17,1210
kjh,kline103,May,70,2390
dar,pharm101,Aug,03,611
gth,pplin102,May,67,3105
gvv,lgime102,Jun,77,1834.5
der,kline102,Feb,98,1683
fed,mpete102,Jun,98,1659.33
hgg,pterv104,Jan,98,1249.5
der,NULL,Aug,92,791
glk,lgime102,Oct,09,3526
ger,pharv103,Oct,68,819.67
gbn,mharr101,Apr,04,1010.5
daw,abera101,Jul,17,1354.5
glk,lgime102,Jun,91,637
swe,kline103,Dec,78,878.5
gda,pharm101,Jul,10,1015.5
ger,jstro102,Nov,06,919
NULL,hdaerr101,Sep,13,2896
sdd,jstro101,May,78,2604
gvv,lsamme104,Feb,91,670.67
gth,NULL,Oct,03,1320.33
frt,juooli101,Aug,19,591
sad,pharv102,Sep,15,3150
kjh,mjone101,Feb,82,1417.5
sdd,hyera102,Oct,18,2037
saz,mpete102,Mar,81,3212
NULL,jstro102,May,81,1387.67
kjh,jstro102,May,14,1339.67
kjh,mpede104,Apr,97,1241.75
ddf,mpete102,Mar,77,1070.5
gvv,pharv101,Dec,05,1099.5
glk,pharv102,Nov,79,3867
faq,mharr103,Oct,85,2103
glk,kline102,Jun,96,4122
ger,NULL,Jun,83,2212
swe,ljone104,Dec,78,1519
swe,kline101,Feb,79,4221
der,mharr101,Jul,76,1586.5
gbn,kline102,Jan,80,1320.33
swe,jstro102,Jul,89,1839
ger,pharv101,Mar,84,580.25
saz,hdaerr101,Nov,12,1248.5
fed,pharv102,May,99,896.33
fed,jline104,Jan,72,1582.33
swe,lgime103,Aug,75,586
kjh,mharr101,Jan,96,1360.67
faq,jstro101,Jun,69,2033
ger,pharv103,May,85,2308
fgn,mharr102,Dec,10,1294
kjh,mpete102,Sep,78,1629.5
gvv,lgime101,Feb,11,1057.5
daw,pterv104,Jan,06,3437
ger,lgime102,Sep,75,4050
daw,kline102,Dec,99,1219.33
fed,kline101,Nov,97,2384.5
daw,pharm101,Sep,97,2344
glk,jstro102,Aug,15,2231
gth,hdaerr101,Aug,18,3677
gth,mjone102,Jan,01,3112
sdd,NULL,Mar,02,807
ddf,gframe102,May,19,2144
glk,pharv103,Oct,97,1231.5
daw,pharv102,Jun,81,1216.67
sad,jstro102,Jun,96,1129.33
sad,jstro102,Jul,10,1027.5
dbe,kline102,Apr,73,1093.67
ddf,jstro101,Sep,74,526.75
gvv,pharv102,Apr,75,1364.33
sdd,hyera102,Feb,64,892
fgn,mharr103,Jun,16,2083.5
gth,abera101,Apr,00,517
ddf,lsamme104,Aug,79,933.67
ger,lsamme104,Sep,79,1188.75
daw,kline102,Feb,97,1145.75
daw,kline103,May,11,943.67
sdd,juooli101,Sep,81,2697
der,jstro102,Jun,01,767
ger,mpete101,Jul,19,1370.33
gvv,mjone102,Feb,08,1135.5
faq,jstro102,Nov,73,2403.5
fed,mpede104,Jul,04,1568
ddf,pharv103,Apr,05,1091
kjh,pterv104,Nov,80,1061.75
dbe,jstro104,Apr,16,1090.5
faq,NULL,Dec,01,1142.75
saz,mjone102,Apr,83,1777
frt,mpede104,Jun,73,2943
swe,jstro102,Feb,16,2140
fgn,hdaerr101,May,95,2379
gth,mjone103,Oct,67,1993.5
saz,mharr101,Oct,09,3220
dar,mpede104,Jan,85,1191.25
glk,jstro102,Nov,92,1767.5
frt,lgime103,Jun,93,1208.5
dew,lgime102,Mar,77,1132.75
ddf,pharv101,Nov,73,3890
der,hdaerr101,Nov,13,4616
swe,abera101,Aug,66,1076.75
glk,NULL,Jul,69,1124.25
swe,mjone102,Dec,78,852.25
swe,jstro102,Jun,19,1138.25
dbe,juooli101,May,00,1349
glk,mpete101,Apr,12,1021
saz,mharr103,May,03,1935.5
swe,mjone103,Mar,82,1076
saz,jstro102,Dec,92,540.75
der,jstro102,Apr,72,4730
ddf,mharr101,Jul,11,1637.33
NULL,lgime102,Apr,01,569.75
der,pharv102,Sep,88,3985
ger,lgime102,May,03,1805
fgn,kline103,Jan,66,1126
swe,NULL,Sep,08,1293.5
gth,hyera102,Aug,00,857
glk,NULL,Sep,75,1401.33
dew,NULL,Dec,00,2322
dar,jstro104,Jun,01,1787
sad,abera101,Apr,86,1193
frt,NULL,Jan,77,1330.5
glk,jstro104,Feb,80,1100.5
ddf,jstro102,Jun,14,1350.33
dbe,ljone104,May,00,1589.5
sdd,lsamme104,Apr,05,4725
hgg,jstro102,Aug,64,4311
dew,mpete102,Mar,82,2984
kjh,pharv101,Sep,64,2840
ger,hyera102,Nov,81,1213
faq,mpete103,Nov,71,2877
sad,hyera102,Feb,14,2470.5
frt,NULL,Sep,93,1054
ddf,lgime102,Aug,94,2773
dew,jstro102,Jul,03,1562
saz,jstro102,May,06,4228
NULL,NULL,Feb,66,3740
hgg,abera101,Jul,74,1369
sdd,mharr103,Dec,77,3992
kjh,jstro102,Nov,82,3392
gbn,pharv101,Apr,85,910.67
dbe,mjone103,May,08,1941
dar,mjone101,Jun,15,1645.5
NULL,jline104,Dec,83,4377
ger,jline104,Sep,99,1370
saz,pharv101,Oct,68,1880
sad,jline104,Jun,06,4282
fed,mjone102,Sep,69,1359
hgg,kline103,Jan,13,1514
faq,NULL,Mar,84,2303
NULL,jstro101,May,84,1755.5
ger,mharr102,Jun,92,1476.67
gbn,NULL,Apr,70,1040.5
NULL,pharv103,Jan,75,1234.33
gvv,juooli101,Jun,82,4771
NULL,mharr102,May,65,1104.33
sdd,mpete103,Aug,12,2935
NULL,kline103,May,09,1887
gth,mjone103,Dec,92,2366
hgg,lsamme104,Oct,90,1486.33
hgg,pplin102,Jun,94,1671.5
